set MFRS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;

set HORIZON := 1 2 3 4 5 6 7;

:             price[v,i,t] quant[v,i,t]    :=
DTP      1  1     0            0
DTP      1  2     0            0
DTP      1  3     0            0
DTP      1  4     0            0
DTP      1  5     0            0
DTP      1  6     0            0
DTP      1  7     0            0
DTP      2  1     0            0
DTP      2  2     0            0
DTP      2  3     0            0
DTP      2  4     0            0
DTP      2  5     0            0
DTP      2  6     0            0
DTP      2  7     0            0
DTP      3  1     0            0
DTP      3  2     0            0
DTP      3  3     0            0
DTP      3  4     0            0
DTP      3  5     0            0
DTP      3  6     0            0
DTP      3  7     0            0
DTP      4  1     0            0
DTP      4  2     0            0
DTP      4  3     0            0
DTP      4  4     0            0
DTP      4  5     0            0
DTP      4  6     0            0
DTP      4  7     0            0
DTP      5  1     0            0
DTP      5  2     0            0
DTP      5  3     0            0
DTP      5  4     0            0
DTP      5  5     0            0
DTP      5  6     0            0
DTP      5  7     0            0
DTP      6  1     0            0
DTP      6  2     0            0
DTP      6  3     0            0
DTP      6  4     0            0
DTP      6  5     0            0
DTP      6  6     0            0
DTP      6  7     0            0
DTP      7  1     0            0
DTP      7  2     0            0
DTP      7  3     0            0
DTP      7  4     0            0
DTP      7  5     0            0
DTP      7  6     0            0
DTP      7  7     0            0
DTP      8  1     0            0
DTP      8  2     0            0
DTP      8  3     0            0
DTP      8  4     0            0
DTP      8  5     0            0
DTP      8  6     0            0
DTP      8  7     0            0
DTP      9  1     0            0
DTP      9  2     0            0
DTP      9  3     0            0
DTP      9  4     0            0
DTP      9  5     0            0
DTP      9  6     0            0
DTP      9  7     0            0
DTP      10 1     0            0
DTP      10 2     0            0
DTP      10 3     0            0
DTP      10 4     0            0
DTP      10 5     0            0
DTP      10 6     0            0
DTP      10 7     0            0
DTP      11 1     0            0
DTP      11 2     0            0
DTP      11 3     0            0
DTP      11 4     0            0
DTP      11 5     0            0
DTP      11 6     0            0
DTP      11 7     0            0
DTP      12 1     0            0
DTP      12 2     0            0
DTP      12 3     0            0
DTP      12 4     0            0
DTP      12 5     0            0
DTP      12 6     0            0
DTP      12 7     0            0
DTP      13 1     0            0
DTP      13 2     0            0
DTP      13 3     0            0
DTP      13 4     0            0
DTP      13 5     0            0
DTP      13 6     0            0
DTP      13 7     0            0
DTP      14 1     0            0
DTP      14 2     0            0
DTP      14 3     0            0
DTP      14 4     0            0
DTP      14 5     0            0
DTP      14 6     0            0
DTP      14 7     0            0
DTP      15 1     0            0
DTP      15 2     0            0
DTP      15 3     0            0
DTP      15 4     0            0
DTP      15 5     0            0
DTP      15 6     0            0
DTP      15 7     0            0
DTP      16 1     0            0
DTP      16 2     0            0
DTP      16 3     0            0
DTP      16 4     0            0
DTP      16 5     0            0
DTP      16 6     0            0
DTP      16 7     0            0
DTP      17 1     0            0
DTP      17 2     0            0
DTP      17 3     0            0
DTP      17 4     0            0
DTP      17 5     0            0
DTP      17 6     0            0
DTP      17 7     0            0
DTP      18 1     0            0
DTP      18 2     0            0
DTP      18 3     0            0
DTP      18 4     0            0
DTP      18 5     0            0
DTP      18 6     0            0
DTP      18 7     0            0
DTP      19 1     0            0
DTP      19 2     0            0
DTP      19 3     0            0
DTP      19 4     0            0
DTP      19 5     0            0
DTP      19 6     0            0
DTP      19 7     0            0
DTP      20 1     0            0
DTP      20 2     0            0
DTP      20 3     0            0
DTP      20 4     0            0
DTP      20 5     0            0
DTP      20 6     0            0
DTP      20 7     0            0
HepB     1  1     0            0
HepB     1  2     0            0
HepB     1  3     0            0
HepB     1  4     0            0
HepB     1  5     0            0
HepB     1  6     0            0
HepB     1  7     0            0
HepB     2  1     0            0
HepB     2  2     0            0
HepB     2  3     0            0
HepB     2  4     0            0
HepB     2  5     0            0
HepB     2  6     0            0
HepB     2  7     0            0
HepB     3  1     0            0
HepB     3  2     0            0
HepB     3  3     0            0
HepB     3  4     0            0
HepB     3  5     0            0
HepB     3  6     0            0
HepB     3  7     0            0
HepB     4  1     0            0
HepB     4  2     0            0
HepB     4  3     0            0
HepB     4  4     0            0
HepB     4  5     0            0
HepB     4  6     0            0
HepB     4  7     0            0
HepB     5  1     0            0
HepB     5  2     0            0
HepB     5  3     0            0
HepB     5  4     0            0
HepB     5  5     0            0
HepB     5  6     0            0
HepB     5  7     0            0
HepB     6  1     0            0
HepB     6  2     0            0
HepB     6  3     0            0
HepB     6  4     0            0
HepB     6  5     0            0
HepB     6  6     0            0
HepB     6  7     0            0
HepB     7  1     0            0
HepB     7  2     0            0
HepB     7  3     0            0
HepB     7  4     0            0
HepB     7  5     0            0
HepB     7  6     0            0
HepB     7  7     0            0
HepB     8  1     0            0
HepB     8  2     0            0
HepB     8  3     0            0
HepB     8  4     0            0
HepB     8  5     0            0
HepB     8  6     0            0
HepB     8  7     0            0
HepB     9  1     0            0
HepB     9  2     0            0
HepB     9  3     0            0
HepB     9  4     0            0
HepB     9  5     0            0
HepB     9  6     0            0
HepB     9  7     0            0
HepB     10 1     0            0
HepB     10 2     0            0
HepB     10 3     0            0
HepB     10 4     0            0
HepB     10 5     0            0
HepB     10 6     0            0
HepB     10 7     0            0
HepB     11 1     0            0
HepB     11 2     0            0
HepB     11 3     0            0
HepB     11 4     0            0
HepB     11 5     0            0
HepB     11 6     0            0
HepB     11 7     0            0
HepB     12 1     0            0
HepB     12 2     0            0
HepB     12 3     0            0
HepB     12 4     0            0
HepB     12 5     0            0
HepB     12 6     0            0
HepB     12 7     0            0
HepB     13 1     0            0
HepB     13 2     0            0
HepB     13 3     0            0
HepB     13 4     0            0
HepB     13 5     0            0
HepB     13 6     0            0
HepB     13 7     0            0
HepB     14 1     0            0
HepB     14 2     0            0
HepB     14 3     0            0
HepB     14 4     0            0
HepB     14 5     0            0
HepB     14 6     0            0
HepB     14 7     0            0
HepB     15 1     0            0
HepB     15 2     0            0
HepB     15 3     0            0
HepB     15 4     0            0
HepB     15 5     0            0
HepB     15 6     0            0
HepB     15 7     0            0
HepB     16 1     0            0
HepB     16 2     0            0
HepB     16 3     0            0
HepB     16 4     0            0
HepB     16 5     0            0
HepB     16 6     0            0
HepB     16 7     0            0
HepB     17 1     0            0
HepB     17 2     0            0
HepB     17 3     0            0
HepB     17 4     0            0
HepB     17 5     0            0
HepB     17 6     0            0
HepB     17 7     0            0
HepB     18 1     0            0
HepB     18 2     0            0
HepB     18 3     0            0
HepB     18 4     0            0
HepB     18 5     0            0
HepB     18 6     0            0
HepB     18 7     0            0
HepB     19 1     0            0
HepB     19 2     0            0
HepB     19 3     0            0
HepB     19 4     0            0
HepB     19 5     0            0
HepB     19 6     0            0
